CID,BDATE,GEN
NASAW00015837,1981-04-19,Female
NASAW00015838,1985-02-13,Female
NASAW00015839,1979-11-18,Male
NASAW00015840,1977-08-25,Female
NASAW00015841,1983-05-11,Male
NASAW00015842,1983-01-09,Female
NASAW00015843,1974-05-02,Male
NASAW00015844,1974-06-24,Female
NASAW00015845,1974-06-17,Female
NASAW00015846,1979-09-06,Male
NASAW00015847,1979-05-10,Male
NASAW00015848,1979-08-24,Female
NASAW00015849,1972-08-29,Female
NASAW00015850,1978-10-04,Female
NASAW00015851,1972-12-18,Female
NASAW00015852,1978-08-22,Male
NASAW00015853,1972-08-21,Female
NASAW00015854,1973-02-24,Female
NASAW00015855,1968-10-14,Male
NASAW00015856,1973-08-02,Male
NASAW00015857,1964-12-03,Female
NASAW00015858,1964-12-12,Male
NASAW00015859,1964-09-01,Female
NASAW00015860,1978-04-19,Male
NASAW00015861,1977-11-23,Male
NASAW00015862,1978-06-06,Female
NASAW00015863,1979-01-31,Male
NASAW00015864,1984-10-16,Female
NASAW00015865,1976-10-11,Female
NASAW00015866,1981-12-30,Female
NASAW00015867,1976-08-07,Female
NASAW00015868,1976-12-10,Male
NASAW00015869,1977-06-20,Female
NASAW00015870,1976-11-29,Female
NASAW00015871,1977-06-22,Male
NASAW00015872,1983-09-29,Female
NASAW00015873,1983-10-16,Female
NASAW00015874,1949-12-10,Male
NASAW00015875,1949-08-16,Male
NASAW00015876,1950-04-17,Male
NASAW00015877,1956-10-07,Male
NASAW00015878,1950-10-21,Male
NASAW00015879,1950-11-18,Male
NASAW00015880,1951-05-13,Male
NASAW00015881,1951-02-17,Female
NASAW00015882,1951-05-01,Male
NASAW00015883,1951-05-13,Male
NASAW00015884,1951-01-04,Male
NASAW00015885,1951-11-15,Male
NASAW00015886,1951-10-16,Male
NASAW00015887,1952-02-09,Female
NASAW00015888,1951-11-02,Female
NASAW00015889,1952-05-17,Male
NASAW00015890,1952-08-26,Male
NASAW00015891,1952-12-08,Male
NASAW00015892,1964-07-05,Female
NASAW00015893,1954-05-15,Female
NASAW00015894,1970-05-06,Female
NASAW00015895,1970-05-06,Female
NASAW00015896,1953-12-15,Male
NASAW00015897,1953-09-14,Female
NASAW00015898,1954-10-29,Male
NASAW00015899,1954-12-29,Male
NASAW00015900,1961-03-24,Male
NASAW00015901,1955-08-27,Female
NASAW00015902,1955-10-23,Male
NASAW00015903,1956-01-06,Female
NASAW00015904,1955-07-25,Female
NASAW00015905,1956-10-15,Female
NASAW00015906,1956-09-02,Female
NASAW00015907,1956-10-15,Male
NASAW00015908,1973-09-12,Male
NASAW00015909,1957-03-06,Female
NASAW00015910,1956-12-05,Male
NASAW00015911,1963-04-23,Female
NASAW00015912,1957-09-04,Female
NASAW00015913,1957-12-14,Male
NASAW00015914,1963-08-19,Male
NASAW00015915,1958-01-08,Male
NASAW00015916,1958-01-11,Male
NASAW00015917,1958-03-20,Female
NASAW00015918,1957-08-02,Male
NASAW00015919,1963-11-04,Female
NASAW00015920,1963-02-11,Male
NASAW00015921,1968-11-22,Male
NASAW00015922,1968-10-12,Male
NASAW00015923,1967-10-04,Male
NASAW00015924,1961-12-18,Male
NASAW00015925,1961-12-25,Male
NASAW00015926,1961-08-11,Female
NASAW00015927,1962-06-03,Male
NASAW00015928,1961-11-05,Female
NASAW00015929,1962-02-07,Female
NASAW00015930,1960-09-29,Female
NASAW00015931,1960-07-07,Male
NASAW00015932,1961-03-10,Female
NASAW00015933,1966-01-30,Male
NASAW00015934,1961-09-25,Female
NASAW00015935,1944-10-24,Female
NASAW00015936,1939-01-12,Female
NASAW00015937,1970-11-09,Female
NASAW00015938,1976-07-05,Male
NASAW00015939,1970-08-11,Female
NASAW00015940,1971-05-27,Male
NASAW00015941,1970-08-26,Female
NASAW00015942,1975-08-06,Male
NASAW00015943,1969-07-17,Male
NASAW00015944,1969-11-09,Male
NASAW00015945,1975-06-21,Female
NASAW00015946,1970-01-17,Male
NASAW00015947,1970-04-11,Female
NASAW00015948,1970-05-20,Female
NASAW00015949,1975-09-07,Female
NASAW00015950,1961-07-14,Female
NASAW00015951,1962-04-12,Female
NASAW00015952,1961-12-18,Male
NASAW00015953,1939-10-09,Male
NASAW00015954,1980-02-20,Male
NASAW00015955,1974-11-13,Male
NASAW00015956,1974-05-13,Male
NASAW00015957,1969-05-14,Male
NASAW00015958,1967-10-04,Female
NASAW00015959,1967-08-30,Male
NASAW00015960,1968-04-06,Female
NASAW00015961,1978-10-17,Female
NASAW00015962,1972-01-08,Male
NASAW00015963,1978-01-30,Female
NASAW00015964,1972-09-29,Male
NASAW00015965,1966-12-16,Female
NASAW00015966,1961-02-11,Female
NASAW00015967,1960-12-13,Male
NASAW00015968,1966-04-17,Male
NASAW00015969,1977-05-24,Male
NASAW00015970,1965-09-02,Male
NASAW00015971,1941-02-22,Male
NASAW00015972,1941-03-31,Female
NASAW00015973,1942-05-23,Male
NASAW00015974,1965-12-10,Male
NASAW00015975,1971-09-21,Female
NASAW00015976,1965-11-21,Male
NASAW00015977,1965-09-12,Female
NASAW00015978,1966-05-18,Male
NASAW00015979,1965-12-12,Female
NASAW00015980,1965-11-19,Female
NASAW00015981,1965-09-11,Male
NASAW00015982,1965-11-19,Male
NASAW00015983,1966-03-15,Female
NASAW00015984,1965-12-20,Male
NASAW00015985,1965-12-16,Male
NASAW00015986,1960-03-10,Male
NASAW00015987,1971-03-21,Female
NASAW00015988,1959-11-09,Male
NASAW00015989,1965-11-15,Female
NASAW00015990,1964-05-21,Male
NASAW00015991,1958-07-19,Male
NASAW00015992,1958-10-20,Female
NASAW00015993,1958-11-19,Male
NASAW00015994,1958-05-01,Female
NASAW00015995,1957-11-23,Female
NASAW00015996,1963-02-23,Female
NASAW00015997,1948-09-07,Female
NASAW00015998,1942-11-06,Female
NASAW00015999,1943-01-20,Female
NASAW00016000,1943-03-27,Female
NASAW00016001,1943-04-24,Male
NASAW00016002,1942-08-10,Female
NASAW00016003,1943-04-26,Female
NASAW00016004,1944-05-18,Male
NASAW00016005,1944-04-05,Male
NASAW00016006,1944-01-11,Female
NASAW00016007,1945-03-30,Female
NASAW00016008,1945-01-12,Female
NASAW00016009,1945-03-14,Male
NASAW00016010,1945-08-13,Female
NASAW00016011,1946-03-06,Female
NASAW00016012,1974-01-29,Female
NASAW00016013,1974-01-18,Male
NASAW00016014,1979-03-05,Male
NASAW00016015,1984-08-02,Female
NASAW00016016,1950-02-09,Male
NASAW00016017,1984-11-08,Male
NASAW00016018,1984-10-29,Female
NASAW00016019,1984-08-01,Female
NASAW00016020,1984-02-23,Male
NASAW00016021,1984-04-24,Female
NASAW00016022,1984-01-17,Male
NASAW00016023,1953-01-13,Male
NASAW00016024,1984-02-14,Male
NASAW00016025,1950-09-04,Male
NASAW00016026,1952-01-07,Male
NASAW00016027,1957-08-11,Female
NASAW00016028,1951-07-28,Male
NASAW00016029,1952-05-07,Female
NASAW00016030,1952-11-17,Male
NASAW00016031,1953-04-08,Male
NASAW00016032,1959-01-11,Male
NASAW00016033,1977-04-13,Female
NASAW00016034,1968-06-09,Female
NASAW00016035,1978-12-12,Male
NASAW00016036,1967-06-02,Female
NASAW00016037,1966-11-05,Female
NASAW00016038,1978-01-02,Male
NASAW00016039,1966-11-03,Male
NASAW00016040,1979-04-02,Male
NASAW00016041,1966-11-05,Male
NASAW00016042,1942-01-18,Male
NASAW00016043,1980-03-05,Male
NASAW00016044,1964-03-08,Female
NASAW00016045,1969-06-30,Female
NASAW00016046,1969-08-16,Female
NASAW00016047,1968-07-05,Female
NASAW00016048,1979-05-04,Female
NASAW00016049,1968-05-08,Female
NASAW00016050,1962-09-08,Male
NASAW00016051,1973-03-14,Male
NASAW00016052,1962-05-06,Male
NASAW00016053,1967-06-15,Male
NASAW00016054,1961-12-17,Male
NASAW00016055,1961-06-17,Male
NASAW00016056,1966-09-17,Female
NASAW00016057,1966-12-10,Female
NASAW00016058,1965-05-31,Female
NASAW00016059,1944-04-09,Male
NASAW00016060,1976-04-25,Male
NASAW00016061,1981-07-02,Male
NASAW00016062,1981-06-05,Female
NASAW00016063,1981-07-12,Male
NASAW00016064,1974-08-29,Female
NASAW00016065,1975-01-18,Female
NASAW00016066,1980-07-19,Male
NASAW00016067,1980-04-16,Female
NASAW00016068,1974-08-31,Male
NASAW00016069,1975-03-04,Female
NASAW00016070,1975-06-21,Female
NASAW00016071,1976-07-09,Female
NASAW00016072,1982-10-08,Male
NASAW00016073,1977-06-10,Female
NASAW00016074,1977-05-11,Male
NASAW00016075,1977-01-22,Female
NASAW00016076,1982-06-12,Female
NASAW00016077,1982-05-28,Female
NASAW00016078,1977-03-05,Female
NASAW00016079,1977-03-06,Female
NASAW00016080,1974-01-29,Male
NASAW00016081,1973-09-18,Male
NASAW00016082,1979-05-19,Female
NASAW00016083,1972-12-30,Female
NASAW00016084,1973-05-16,Female
NASAW00016085,1975-07-10,Male
NASAW00016086,1975-11-08,Male
NASAW00016087,1975-12-11,Male
NASAW00016088,1973-01-06,Male
NASAW00016089,1973-01-30,Male
NASAW00016090,1972-12-31,Female
NASAW00016091,1983-10-19,Female
NASAW00016092,1971-07-02,Female
NASAW00016093,1971-08-30,Female
NASAW00016094,1977-11-08,Female
NASAW00016095,1971-08-11,Male
NASAW00016096,1974-07-25,Male
NASAW00016097,1975-05-05,Female
NASAW00016098,1975-03-06,Female
NASAW00016099,1980-08-05,Male
NASAW00016100,1980-03-30,Male
NASAW00016101,1975-03-19,Female
NASAW00016102,1971-02-11,Male
NASAW00016103,1982-04-06,Female
NASAW00016104,1971-05-04,Female
NASAW00016105,1970-08-04,Female
NASAW00016106,1970-09-18,Male
NASAW00016107,1980-10-14,Female
NASAW00016108,1975-06-21,Male
NASAW00016109,1970-01-02,Male
NASAW00016110,1969-12-29,Male
NASAW00016111,1980-02-02,Female
NASAW00016112,1968-09-01,Male
NASAW00016113,1979-08-09,Male
NASAW00016114,1968-09-10,Male
NASAW00016115,1973-12-11,Female
NASAW00016116,1973-12-04,Male
NASAW00016117,1968-05-01,Male
NASAW00016118,1968-03-02,Male
NASAW00016119,1967-03-12,Female
NASAW00016120,1977-10-08,Male
NASAW00016121,1966-11-01,Female
NASAW00016122,1967-06-15,Male
NASAW00016123,1967-01-05,Female
NASAW00016124,1967-05-03,Male
NASAW00016125,1966-09-03,Female
NASAW00016126,1967-01-14,Female
NASAW00016127,1983-03-10,Female
NASAW00016128,1977-12-18,Female
NASAW00016129,1966-04-10,Female
NASAW00016130,1971-12-21,Female
NASAW00016131,1965-11-11,Male
NASAW00016132,1971-11-30,Female
NASAW00016133,1978-08-09,Male
NASAW00016134,1972-12-03,Male
NASAW00016135,1972-12-28,Female
NASAW00016136,1972-12-01,Male
NASAW00016137,1972-09-11,Male
NASAW00016138,1972-08-08,Male
NASAW00016139,1971-08-22,Female
NASAW00016140,1971-04-01,Male
NASAW00016141,1966-05-01,Female
NASAW00016142,1964-07-10,Female
NASAW00016143,1964-09-15,Female
NASAW00016144,1970-11-30,Male
NASAW00016145,1965-04-23,Female
NASAW00016146,1964-08-20,Female
NASAW00016147,1964-05-23,Male
NASAW00016148,1963-09-23,Female
NASAW00016149,1963-08-29,Male
NASAW00016150,1974-08-09,Female
NASAW00016151,1968-12-30,Female
NASAW00016152,1969-11-12,Female
NASAW00016153,1963-10-09,Male
NASAW00016154,1964-06-04,Female
NASAW00016155,1974-10-08,Female
NASAW00016156,1975-03-11,Male
NASAW00016157,1985-10-21,Female
NASAW00016158,1975-01-18,Female
NASAW00016159,1980-06-17,Female
NASAW00016160,1973-12-18,Female
NASAW00016161,1974-02-21,Female
NASAW00016162,1974-03-26,Female
NASAW00016163,1973-06-13,Male
NASAW00016164,1978-01-29,Female
NASAW00016165,1978-01-30,Female
NASAW00016166,1984-02-03,Female
NASAW00016167,1978-01-02,Male
NASAW00016168,1973-03-07,Female
NASAW00016169,1978-03-13,Male
NASAW00016170,1972-03-07,Male
NASAW00016171,1971-10-04,Male
NASAW00016172,1983-04-06,Female
NASAW00016173,1981-07-02,Male
NASAW00016174,1970-09-21,Female
NASAW00016175,1976-09-01,Male
NASAW00016176,1974-02-16,Female
NASAW00016177,1979-09-07,Female
NASAW00016178,1974-05-16,Male
NASAW00016179,1974-02-19,Female
NASAW00016180,1976-08-18,Male
NASAW00016181,1970-12-21,Female
NASAW00016182,1969-10-19,Male
NASAW00016183,1975-11-01,Female
NASAW00016184,1969-12-04,Female
NASAW00016185,1975-12-10,Male
NASAW00016186,1980-01-22,Female
NASAW00016187,1986-02-14,Male
NASAW00016188,1985-10-03,Female
NASAW00016189,1984-09-29,Female
NASAW00016190,1984-07-07,Male
NASAW00016191,1983-09-15,Female
NASAW00016192,1983-12-02,Female
NASAW00016193,1983-12-18,Male
NASAW00016194,1979-03-16,Female
NASAW00016195,1978-10-10,Female
NASAW00016196,1979-04-20,Male
NASAW00016197,1983-08-16,Female
NASAW00016198,1978-04-12,Male
NASAW00016199,1978-02-15,Male
NASAW00016200,1976-10-15,Female
NASAW00016201,1977-03-05,Male
NASAW00016202,1976-10-18,Male
NASAW00016203,1975-11-01,Male
NASAW00016204,1982-04-09,Male
NASAW00016205,1982-03-28,Female
NASAW00016206,1976-11-15,Female
NASAW00016207,1982-03-09,Male
NASAW00016208,1977-01-17,Female
NASAW00016209,1975-09-15,Female
NASAW00016210,1979-09-09,Female
NASAW00016211,1980-05-22,Male
NASAW00016212,1935-07-03,Female
NASAW00016213,1971-11-13,Female
NASAW00016214,1977-01-30,Male
NASAW00016215,1971-11-09,Male
NASAW00016216,1983-03-23,Male
NASAW00016217,1972-03-24,Female
NASAW00016218,1964-09-30,Female
NASAW00016219,1964-11-18,Male
NASAW00016220,1959-01-03,Female
NASAW00016221,1964-05-10,Male
NASAW00016222,1959-06-17,Male
NASAW00016223,1958-11-15,Male
NASAW00016224,1959-01-17,Male
NASAW00016225,1970-04-07,Male
NASAW00016226,1958-11-20,Female
NASAW00016227,1959-12-16,Male
NASAW00016228,1966-12-23,Male
NASAW00016229,1971-11-13,Male
NASAW00016230,1960-10-31,Male
NASAW00016231,1961-05-08,Female
NASAW00016232,1961-04-04,Male
NASAW00016233,1971-09-18,Female
NASAW00016234,1961-11-04,Male
NASAW00016235,1967-02-13,Male
NASAW00016236,1967-12-13,Male
NASAW00016237,1962-07-12,Female
NASAW00016238,1963-06-01,Female
NASAW00016239,1963-05-31,Male
NASAW00016240,1974-08-11,Female
NASAW00016241,1975-04-03,Female
NASAW00016242,1963-08-24,Female
NASAW00016243,1963-12-23,Female
NASAW00016244,1969-12-15,Male
NASAW00016245,1969-09-21,Female
NASAW00016246,1964-05-25,Male
NASAW00016247,1964-10-30,Female
NASAW00016248,1964-08-27,Female
NASAW00016249,1970-12-01,Male
NASAW00016250,1979-05-18,Male
NASAW00016251,1978-03-08,Female
NASAW00016252,1973-03-21,Male
NASAW00016253,1973-03-02,Female
NASAW00016254,1973-02-17,Female
NASAW00016255,1973-02-18,Female
NASAW00016256,1973-01-13,Male
NASAW00016257,1978-10-14,Female
NASAW00016258,1973-05-02,Female
NASAW00016259,1971-10-19,Female
NASAW00016260,1977-02-16,Female
NASAW00016261,1984-02-03,Female
NASAW00016262,1984-05-14,Female
NASAW00016263,1972-12-08,Male
NASAW00016264,1933-10-20,Female
NASAW00016265,1982-12-13,Female
NASAW00016266,1971-10-16,Female
NASAW00016267,1972-04-21,Male
NASAW00016268,1972-05-19,Female
NASAW00016269,1971-08-25,Female
NASAW00016270,1971-12-08,Male
NASAW00016271,1970-12-11,Female
NASAW00016272,1971-02-04,Male
NASAW00016273,1976-05-10,Female
NASAW00016274,1969-09-13,Male
NASAW00016275,1969-06-30,Female
NASAW00016276,1980-08-29,Female
NASAW00016277,1970-03-28,Female
NASAW00016278,1969-12-21,Male
NASAW00016279,1968-12-22,Female
NASAW00016280,1969-02-15,Male
NASAW00016281,1968-07-05,Male
NASAW00016282,1969-02-28,Female
NASAW00016283,1974-09-09,Male
NASAW00016284,1968-12-08,Male
NASAW00016285,1972-05-01,Female
NASAW00016286,1977-11-20,Male
NASAW00016287,1972-05-02,Female
NASAW00016288,1985-08-16,Male
NASAW00016289,1971-03-24,Female
NASAW00016290,1971-04-22,Male
NASAW00016291,1969-07-05,Female
NASAW00016292,1975-05-01,Female
NASAW00016293,1970-05-12,Male
NASAW00016294,1975-06-21,Male
NASAW00016295,1974-11-10,Male
NASAW00016296,1969-06-19,Female
NASAW00016297,1974-09-08,Female
NASAW00016298,1968-11-12,Female
NASAW00016299,1983-05-24,Female
NASAW00016300,1983-05-10,Male
NASAW00016301,1982-08-06,Male
NASAW00016302,1985-05-11,Female
NASAW00016303,1985-03-06,Female
NASAW00016304,1985-04-14,Male
NASAW00016305,1985-03-22,Male
NASAW00016306,1984-08-17,Female
NASAW00016307,1974-06-03,Female
NASAW00016308,1974-04-23,Female
NASAW00016309,1968-03-20,Female
NASAW00016310,1973-02-28,Female
NASAW00016311,1973-10-06,Male
NASAW00016312,1983-07-20,Female
NASAW00016313,1983-09-23,Female
NASAW00016314,1983-10-22,Male
NASAW00016315,1983-01-19,Male
NASAW00016316,1983-04-23,Female
NASAW00016317,1983-03-23,Male
NASAW00016318,1982-12-06,Female
NASAW00016319,1982-05-21,Female
NASAW00016320,1981-09-01,Female
NASAW00016321,1985-10-21,Female
NASAW00016322,1980-03-16,Female
NASAW00016323,1980-10-02,Male
NASAW00016324,1986-03-15,Male
NASAW00016325,1919-03-10,Female
NASAW00016326,1978-07-17,Male
NASAW00016327,1984-03-02,Male
NASAW00016328,1978-08-15,Male
NASAW00016329,1984-12-09,Female
NASAW00016330,1979-01-03,Male
NASAW00016331,1982-09-09,Female
NASAW00016332,1954-04-03,Female
NASAW00016333,1982-08-21,Male
NASAW00016334,1983-06-11,Female
NASAW00016335,1983-02-22,Female
NASAW00016336,1982-12-06,Male
NASAW00016337,1983-01-03,Male
NASAW00016338,1954-09-15,Female
NASAW00016339,1955-10-30,Male
NASAW00016340,1986-06-23,Male
NASAW00016341,1957-05-25,Female
NASAW00016342,1962-04-05,Male
NASAW00016343,1968-02-17,Male
NASAW00016344,1985-11-15,Male
NASAW00016345,1959-04-23,Male
NASAW00016346,1964-06-10,Male
NASAW00016347,1958-12-01,Male
NASAW00016348,1960-01-01,Male
NASAW00016349,1959-10-13,Male
NASAW00016350,1965-02-10,Male
NASAW00016351,1960-01-04,Female
NASAW00016352,1965-08-02,Female
NASAW00016353,1981-05-06,Male
NASAW00016354,1980-08-06,Female
NASAW00016355,1980-12-24,Female
NASAW00016356,1981-06-16,Female
NASAW00016357,1980-03-15,Female
NASAW00016358,1979-07-08,Male
NASAW00016359,1959-09-08,Female
NASAW00016360,1960-01-30,Male
NASAW00016361,1960-11-06,Male
NASAW00016362,1960-10-29,Male
NASAW00016363,1960-08-30,Female
NASAW00016364,1960-11-07,Female
NASAW00016365,1961-01-15,Female
NASAW00016366,1972-01-02,Female
NASAW00016367,1977-05-24,Female
NASAW00016368,1966-11-04,Female
NASAW00016369,1967-08-23,Female
NASAW00016370,1967-01-22,Female
NASAW00016371,1961-09-11,Male
NASAW00016372,1974-01-29,Female
NASAW00016373,1962-10-20,Female
NASAW00016374,1963-06-14,Male
NASAW00016375,1968-08-19,Female
NASAW00016376,1963-06-06,Female
NASAW00016377,1969-09-21,Female
NASAW00016378,1963-09-15,Female
NASAW00016379,1969-09-21,Male
NASAW00016380,1975-04-19,Female
NASAW00016381,1963-12-01,Female
NASAW00016382,1963-12-01,Female
NASAW00016383,1963-10-25,Male
NASAW00016384,1964-11-19,Female
NASAW00016385,1965-06-15,Male
NASAW00016386,1974-03-15,Male
NASAW00016387,1974-04-24,Male
NASAW00016388,1979-11-23,Male
NASAW00016389,1979-10-01,Male
NASAW00016390,1973-08-25,Male
NASAW00016391,1979-11-01,Male
NASAW00016392,1974-04-08,Female
NASAW00016393,1985-01-06,Male
NASAW00016394,1978-06-03,Male
NASAW00016395,1973-06-06,Female
NASAW00016396,1972-10-14,Male
NASAW00016397,1978-04-10,Male
NASAW00016398,1973-06-12,Male
NASAW00016399,1973-04-15,Male
NASAW00016400,1978-03-06,Male
NASAW00016401,1973-03-08,Female
NASAW00016402,1973-04-01,Male
NASAW00016403,1972-04-17,Male
NASAW00016404,1973-01-02,Male
NASAW00016405,1972-10-05,Female
NASAW00016406,1978-11-10,Male
NASAW00016407,1971-09-01,Female
NASAW00016408,1970-08-08,Male
NASAW00016409,1976-10-13,Female
NASAW00016410,1970-04-18,Female
NASAW00016411,1970-02-18,Male
NASAW00016412,1980-12-05,Female
NASAW00016413,1936-11-03,Female
NASAW00016414,1969-12-15,Female
NASAW00016415,1969-12-15,Male
NASAW00016416,1975-05-14,Male
NASAW00016417,1975-08-29,Male
NASAW00016418,1974-08-22,Female
NASAW00016419,1968-12-20,Female
NASAW00016420,1974-11-15,Male
NASAW00016421,1974-10-06,Female
NASAW00016422,1979-09-20,Male
NASAW00016423,1938-11-20,Male
NASAW00016424,1972-01-15,Female
NASAW00016425,1971-08-15,Female
NASAW00016426,1972-01-08,Male
NASAW00016427,1977-03-11,Female
NASAW00016428,1968-09-24,Male
NASAW00016429,1973-10-12,Female
NASAW00016430,1971-02-04,Male
NASAW00016431,1976-08-30,Male
NASAW00016432,1975-08-05,Male
NASAW00016433,1975-05-24,Male
NASAW00016434,1970-04-03,Female
NASAW00016435,1975-07-06,Male
NASAW00016436,1974-08-11,Male
NASAW00016437,1983-04-23,Male
NASAW00016438,1982-01-14,Female
NASAW00016439,1985-04-24,Female
NASAW00016440,1985-06-02,Male
NASAW00016441,1984-09-08,Male
NASAW00016442,1985-02-23,Male
NASAW00016443,1984-09-04,Female
NASAW00016444,1969-04-21,Female
NASAW00016445,1967-12-11,Female
NASAW00016446,1967-11-09,Female
NASAW00016447,1973-12-05,Female
NASAW00016448,1967-08-02,Female
NASAW00016449,1983-08-14,Male
NASAW00016450,1983-02-12,Female
NASAW00016451,1983-03-05,Male
NASAW00016452,1983-05-21,Female
NASAW00016453,1982-10-07,Female
NASAW00016454,1982-12-03,Male
NASAW00016455,1917-02-09,Female
NASAW00016456,1981-01-09,Male
NASAW00016457,1981-08-18,Female
NASAW00016458,1982-06-18,Female
NASAW00016459,1981-10-15,Female
NASAW00016460,1982-05-17,Female
NASAW00016461,1981-08-05,Female
NASAW00016462,1980-10-14,Female
NASAW00016463,1981-04-20,Female
NASAW00016464,1979-11-15,Male
NASAW00016465,1980-04-30,Female
NASAW00016466,1979-12-13,Female
NASAW00016467,1980-03-07,Male
NASAW00016468,1981-05-17,Male
NASAW00016469,1981-05-18,Female
NASAW00016470,1981-05-08,Male
NASAW00016471,1919-02-14,Female
NASAW00016472,1985-03-10,Female
NASAW00016473,1978-08-31,Female
NASAW00016474,1978-10-19,Male
NASAW00016475,1984-12-09,Male
NASAW00016476,1979-06-10,Male
NASAW00016477,1982-11-01,Female
NASAW00016478,1982-07-21,Male
NASAW00016479,1981-11-06,Female
NASAW00016480,1960-02-05,Male
NASAW00016481,1954-12-15,Female
NASAW00016482,1955-11-12,Female
NASAW00016483,1961-10-13,Male
NASAW00016484,1955-08-07,Male
NASAW00016485,1985-10-21,Male
NASAW00016486,1956-11-12,Female
NASAW00016487,1956-11-13,Female
NASAW00016488,1956-10-25,Male
NASAW00016489,1957-01-02,Male
NASAW00016490,1985-11-14,Female
NASAW00016491,1984-10-16,Male
NASAW00016492,1957-09-21,Male
NASAW00016493,1959-05-05,Female
NASAW00016494,1965-11-21,Female
NASAW00016495,1960-02-05,Female
NASAW00016496,1965-05-14,Female
NASAW00016497,1981-01-03,Female
NASAW00016498,1981-05-08,Male
NASAW00016499,1981-04-15,Female
NASAW00016500,1980-08-19,Female
NASAW00016501,1981-01-23,Female
NASAW00016502,1980-08-12,Male
NASAW00016503,1980-08-29,Male
NASAW00016504,1980-02-02,Male
NASAW00016505,1985-08-03,Female
NASAW00016506,1984-12-09,Female
NASAW00016507,1945-05-18,Female
NASAW00016508,1945-02-10,Male
NASAW00016509,1946-10-30,Female
NASAW00016510,1948-06-03,Male
NASAW00016511,1947-12-18,Male
NASAW00016512,1947-10-05,Male
NASAW00016513,1948-11-10,Male
NASAW00016514,1985-07-10,Male
NASAW00016515,1985-08-03,Male
NASAW00016516,1986-01-24,Male
NASAW00016517,1981-09-16,Female
NASAW00016518,1981-12-17,Female
NASAW00016519,1982-02-11,Female
NASAW00016520,1982-04-22,Female
NASAW00016521,1985-02-07,Female
NASAW00016522,1985-01-01,Female
NASAW00016523,1984-07-10,Female
NASAW00016524,1985-01-20,Male
NASAW00016525,1983-11-22,Female
NASAW00016526,1984-04-23,Male
NASAW00016527,1983-12-18,Male
NASAW00016528,1984-02-22,Female
NASAW00016529,1983-01-25,Male
NASAW00016530,1949-04-16,Female
NASAW00016531,1948-12-22,Female
NASAW00016532,1977-12-18,Male
NASAW00016533,1966-11-21,Female
NASAW00016534,1966-08-05,Female
NASAW00016535,1971-05-09,Male
NASAW00016536,1966-01-19,Female
NASAW00016537,1966-04-12,Male
NASAW00016538,1965-07-12,Female
NASAW00016539,1971-01-07,Female
NASAW00016540,1966-03-15,Male
NASAW00016541,1966-06-27,Male
NASAW00016542,1965-12-07,Male
NASAW00016543,1976-12-04,Female
NASAW00016544,1970-04-04,Male
NASAW00016545,1964-07-11,Female
NASAW00016546,1965-02-24,Male
NASAW00016547,1974-08-11,Male
NASAW00016548,1971-07-11,Male
NASAW00016549,1965-02-02,Female
NASAW00016550,1970-02-18,Male
NASAW00016551,1976-05-09,Female
NASAW00016552,1965-01-06,Male
NASAW00016553,1964-09-01,Female
NASAW00016554,1964-02-14,Female
NASAW00016555,1975-12-19,Male
NASAW00016556,1975-07-06,Female
NASAW00016557,1981-04-13,Male
NASAW00016558,1981-04-13,Male
NASAW00016559,1975-04-22,Female
NASAW00016560,1976-04-12,Male
NASAW00016561,1981-12-02,Male
NASAW00016562,1981-09-06,Female
NASAW00016563,1925-02-23,Female
NASAW00016564,1975-02-04,Female
NASAW00016565,1974-10-06,Male
NASAW00016566,1980-01-19,Female
NASAW00016567,1975-03-10,Male
NASAW00016568,1927-08-13,Female
NASAW00016569,1963-09-09,Female
NASAW00016570,1968-09-13,Female
NASAW00016571,1962-09-05,Female
NASAW00016572,1979-05-14,Male
NASAW00016573,1973-08-09,Male
NASAW00016574,1979-03-09,Male
NASAW00016575,1950-03-03,Female
NASAW00016576,1952-04-10,Male
NASAW00016577,1951-10-01,Female
NASAW00016578,1952-06-03,Female
NASAW00016579,1958-12-18,Male
NASAW00016580,1960-01-01,Female
NASAW00016581,1965-07-19,Male
NASAW00016582,1965-09-30,Male
NASAW00016583,1959-11-02,Male
NASAW00016584,1959-10-31,Male
NASAW00016585,1959-11-03,Male
NASAW00016586,1969-12-17,Male
NASAW00016587,1959-03-11,Male
NASAW00016588,1958-10-01,Male
NASAW00016589,1958-10-08,Male
NASAW00016590,1964-08-29,Male
NASAW00016591,1970-04-22,Male
NASAW00016592,1958-05-15,Female
NASAW00016593,1957-07-04,Female
NASAW00016594,1957-09-01,Male
NASAW00016595,1958-01-16,Male
NASAW00016596,1956-09-24,Female
NASAW00016597,1956-09-11,Female
NASAW00016598,1957-05-02,Female
NASAW00016599,1955-11-14,Male
NASAW00016600,1953-11-13,Female
NASAW00016601,1953-08-08,Female
NASAW00016602,1954-03-19,Female
NASAW00016603,1953-05-18,Female
NASAW00016604,1952-07-03,Male
NASAW00016605,1981-05-09,Female
NASAW00016606,1982-05-09,Male
NASAW00016607,1981-02-23,Male
NASAW00016608,1981-06-11,Male
NASAW00016609,1985-08-09,Male
NASAW00016610,1979-12-21,Female
NASAW00016611,1980-07-15,Male
NASAW00016612,1981-02-18,Female
NASAW00016613,1979-10-06,Female
